,cc,cc_x,cc_y,cc_smart,dphase_smart,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
0,0.09223956679251191,34,0.0925889579641039,0.10562933559745682,-3,0.1661089131248814,5.6640625,0.07060453883558375,0.08394544751203077,0.3750919520547945,0.00020188356164385635,0.01895854245092136,-0.0008650501316317769,0.0012688172549194896,0.10216770502417978,-3,1,Drum,arm,low,No
1,0.44138211120916987,4,0.6035395872785245,0.6099137935655072,4,0.7768242544734115,2.734375,0.09485196627252747,0.011800887730075534,0.3750919520547945,0.00020188356164385635,0.01895854245092136,-0.0008650501316317769,0.0012688172549194896,0.6037981174952364,4,1,Drum,head,low,No
2,-0.059285164592680496,2918,0.2629497804616231,0.17590056370194884,22,0.47265234329513395,1.953125,0.07274272875124105,0.04115745083711386,0.999620663265306,0.0003528061224491271,0.01740720910369193,-0.0013381799047666606,0.0020437921496649146,0.16483569301498063,23,1,Cello,arm,low,No
3,-0.06224774540949264,65,0.13100119978887673,0.13665393356086533,-35,0.2499653577803061,1.953125,0.0875783171514698,0.008215089527470465,0.999620663265306,0.0003528061224491271,0.01740720910369193,-0.0013381799047666606,0.0020437921496649146,0.13892181829765687,-35,1,Cello,head,low,No
4,0.17204840336153435,7,0.1788223286946258,0.1836800995913491,6,0.1839726984996058,0.5859375,0.04423732372599552,0.005503536060748632,1.6332712962962963,0.02519907407407409,0.16771902388797946,0.003250346060352946,0.04714780208779523,0.178955926182539,7,1,Sax,arm,low,No
5,0.35762459170105365,0,0.35762459170105365,0.3774510394376317,-9,0.4163995137089506,0.78125,0.060624895387897476,0.011225855688102412,1.6332712962962963,0.02519907407407409,0.16771902388797946,0.003250346060352946,0.04714780208779523,0.38554966026748405,-9,1,Sax,head,low,No
6,0.027191322862034274,1816,0.11188566480796787,0.06668264402610623,-9,0.16915019553768912,7.421875,0.055513445761491066,0.007787537190355369,0.977516037735849,0.01587264150943394,0.07921462524668386,0.00847358490356332,0.023271698115304558,0.04508939496144473,-9,1,Piano,arm,low,No
7,-0.017265115560502593,477,0.211923186126015,0.18580970953117915,-27,0.24058322061811901,3.515625,0.05666097926158892,0.008549413637401984,0.977516037735849,0.01587264150943394,0.07921462524668386,0.00847358490356332,0.023271698115304558,0.18415456515599007,-27,1,Piano,head,low,No
8,-0.2618240689029371,8,0.4729040546458994,0.46854904119251245,8,0.8807221603920874,4.1015625,0.09081840395919455,0.01231162085646052,0.2500203539823009,0.00010000000000000716,0.008164732699341109,-0.0002693147594388581,0.0004693147594388724,0.4733288949503444,8,1,Accordion,arm,low,No
9,-0.005169357739091694,19,0.5095175339977637,0.49937326330590665,-6,0.856964087547665,3.90625,0.07082016791708008,0.008039872042794287,0.2500203539823009,0.00010000000000000716,0.008164732699341109,-0.0002693147594388581,0.0004693147594388724,0.4991399991019091,-6,1,Accordion,head,low,No
10,0.012077555527072212,1402,0.1467637136965933,0.04134143397083382,-27,0.14510453731149825,4.296875,0.04087144677489221,0.004433546014056637,2.591422321428571,0.16098482142857184,0.9089423857777051,-0.004204226749286333,0.32617386960643,0.03461453195546084,-33,1,Clarinet,arm,low,No
11,0.3329427269695854,213,0.42349097117189327,0.4838652052871988,-34,0.8467813350921786,0.390625,0.07209569410972039,0.02550134692685717,2.591422321428571,0.16098482142857184,0.9089423857777051,-0.004204226749286333,0.32617386960643,0.5008082455598193,-36,1,Clarinet,head,low,No
12,-0.12356100532110145,11,0.1943646602839838,0.19585202729728596,11,0.24763498296830597,6.640625,0.07676207037024267,0.09413538983159901,0.3298218255988024,-0.00012759206586829757,0.01673815023903487,-0.0010083531935419134,0.0007531690618053184,0.19451161432159614,11,2,Drum,arm,high,No
13,-0.27926200308832066,480,0.30120384516541904,0.2989762443247427,-15,0.7078069396641088,3.125,0.09250627429862036,0.013405302132365737,0.3298218255988024,-0.00012759206586829757,0.01673815023903487,-0.0010083531935419134,0.0007531690618053184,0.2989411632000469,-15,2,Drum,head,high,No
14,0.18489325941237475,21,0.42154729314828315,0.4249692245086841,20,0.6255353668898489,1.5625,0.08425688743335798,0.04328815540912224,1.4281386718750002,-0.0003667968750001305,0.03773065095495135,-0.004902328730301024,0.004168734980300763,0.4224569187027341,21,2,Cello,arm,high,No
15,-0.02694764989741575,173,0.2884262325285517,0.2895352953837009,30,0.5585902575733688,2.734375,0.0949596373251906,0.012264368857934806,1.4281386718750002,-0.0003667968750001305,0.03773065095495135,-0.004902328730301024,0.004168734980300763,0.275913448958171,31,2,Cello,head,high,No
16,0.004841533820232583,846,0.05845228118271545,0.007629958541014633,-11,0.1634187988690493,6.4453125,0.07192144313231823,0.035612918460483325,0.2383558016877637,-0.00028238396624471736,0.07595056193856183,-0.0036371769892838573,0.003072409056794423,0.007629958541014633,-11,2,Sax,arm,high,No
17,-0.22339401013549692,12,0.21224283293256882,0.2529460508994746,-11,0.6660890126312143,4.296875,0.06682176617982145,0.010901453408871586,0.2383558016877637,-0.00028238396624471736,0.07595056193856183,-0.0036371769892838573,0.003072409056794423,0.2529460508994746,-11,2,Sax,head,high,No
18,0.016073122999555524,1055,0.0857232419889554,0.039874431266372676,-7,0.11622942591997813,4.1015625,0.05806103007247047,0.00769014023542322,0.35181189042207794,8.799918831164283e-05,0.02478490777489185,-0.0012701136652339723,0.001446112041857258,0.039788900050501196,-7,2,Piano,arm,high,No
