,cc,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
0,-0.05922063060323092,0.47265233188203376,1.953125,0.07274272875124105,0.04115745083711386,0.999620663265306,0.0003528061224491271,0.01740720910369193,-0.0013381799047666606,0.0020437921496649146,0.17569717706639068,22,1,Cello,arm,low,No
1,-0.06200480610953333,0.24996543179676167,1.953125,0.0875783171514698,0.008215089527470465,0.999620663265306,0.0003528061224491271,0.01740720910369193,-0.0013381799047666606,0.0020437921496649146,0.13582306774878022,-35,1,Cello,head,low,No
2,0.09173150404376047,0.16618768658618374,5.6640625,0.07060453883558375,0.08394544751203077,0.3750919520547945,0.00020188356164385635,0.01895854245092136,-0.0008650501316317769,0.0012688172549194896,0.1051379755025317,-3,1,Drum,arm,low,No
3,0.4406751974306466,0.776824229263207,2.734375,0.09485196627252747,0.011800887730075534,0.3750919520547945,0.00020188356164385635,0.01895854245092136,-0.0008650501316317769,0.0012688172549194896,0.6088346511680387,4,1,Drum,head,low,No
4,0.02754907721663297,0.1676858685611061,7.421875,0.055513445761491066,0.007787537190355369,0.977516037735849,0.01587264150943394,0.07921462524668386,0.00847358490356332,0.023271698115304558,0.06693933411772109,-9,1,Piano,arm,low,No
5,-0.016665852349427197,0.2405829566613058,3.515625,0.05666097926158892,0.008549413637401984,0.977516037735849,0.01587264150943394,0.07921462524668386,0.00847358490356332,0.023271698115304558,0.1858418208044773,-27,1,Piano,head,low,No
6,-0.2640872242207573,0.8807147653260431,4.1015625,0.09081840395919455,0.01231162085646052,0.2500203539823009,0.00010000000000000716,0.008164732699341109,-0.0002693147594388581,0.0004693147594388724,0.46818149301780937,8,1,Accordion,arm,low,No
7,-0.0038126713889664893,0.8569684776196401,3.90625,0.07082016791708008,0.008039872042794287,0.2500203539823009,0.00010000000000000716,0.008164732699341109,-0.0002693147594388581,0.0004693147594388724,0.49584143921520424,-6,1,Accordion,head,low,No
8,0.012400713261317082,0.1451117863588681,4.296875,0.04087144677489221,0.004433546014056637,2.591422321428571,0.16098482142857184,0.9089423857777051,-0.004204226749286333,0.32617386960643,0.04125726562191007,-26,1,Clarinet,arm,low,No
9,0.3324069254766525,0.8467494843405547,0.390625,0.07209569410972039,0.02550134692685717,2.591422321428571,0.16098482142857184,0.9089423857777051,-0.004204226749286333,0.32617386960643,0.48305261005423444,-34,1,Clarinet,head,low,No
10,0.17168023096373625,0.18398673371356508,0.5859375,0.04423732372599552,0.005503536060748632,1.6332712962962963,0.02519907407407409,0.16771902388797946,0.003250346060352946,0.04714780208779523,0.18323880407878765,6,1,Sax,arm,low,No
11,0.35738759112627894,0.416418866726474,0.78125,0.060624895387897476,0.011225855688102412,1.6332712962962963,0.02519907407407409,0.16771902388797946,0.003250346060352946,0.04714780208779523,0.37728935133168917,-9,1,Sax,head,low,No
12,0.1848103387571135,0.6255353735623516,1.5625,0.08425688743335798,0.04328815540912224,1.4281386718750002,-0.0003667968750001305,0.03773065095495135,-0.004902328730301024,0.004168734980300763,0.4246117059703494,20,2,Cello,arm,high,No
13,-0.026504230192541185,0.5585902464979565,2.734375,0.0949596373251906,0.012264368857934806,1.4281386718750002,-0.0003667968750001305,0.03773065095495135,-0.004902328730301024,0.004168734980300763,0.2884402596019037,30,2,Cello,head,high,No
14,-0.1234011044650969,0.2459305204351529,6.640625,0.07676207037024267,0.09413538983159901,0.3298218255988024,-0.00012759206586829757,0.01673815023903487,-0.0010083531935419134,0.0007531690618053184,0.19524754170784003,11,2,Drum,arm,high,No
15,-0.2780498948492,0.7078063014744107,3.125,0.09250627429862036,0.013405302132365737,0.3298218255988024,-0.00012759206586829757,0.01673815023903487,-0.0010083531935419134,0.0007531690618053184,0.2979197948320716,-15,2,Drum,head,high,No
16,0.016141073230852086,0.11623245047090552,4.1015625,0.05806103007247047,0.00769014023542322,0.35181189042207794,8.799918831164283e-05,0.02478490777489185,-0.0012701136652339723,0.001446112041857258,0.03973478364701863,-7,2,Piano,arm,high,No
17,-0.14322727406354718,0.30310578904816904,2.734375,0.05507085402336463,0.00630948861955611,0.35181189042207794,8.799918831164283e-05,0.02478490777489185,-0.0012701136652339723,0.001446112041857258,0.14580131870674934,-17,2,Piano,head,high,No
18,-0.7290158942826803,0.9618168086938726,2.5390625,0.1112599252558355,0.019012911461382363,0.38961946010638304,9.345478723397807e-05,0.01948948751531912,-0.0010226366486767217,0.0012095462231446778,0.8137570351617955,-18,2,Accordion,arm,high,No
19,-0.1180732592284488,0.8012893627543148,2.5390625,0.08716950294803134,0.020167757240215155,0.38961946010638304,9.345478723397807e-05,0.01948948751531912,-0.0010226366486767217,0.0012095462231446778,0.6971219525453484,-11,2,Accordion,head,high,No
20,0.03274907662176826,0.11579987407035543,5.6640625,0.04167069088117009,0.00457212799129468,1.42845148828125,0.000605792968750074,0.04561221451420201,-0.004877167083197636,0.006088753020697784,0.02930267376947698,-3,2,Clarinet,arm,high,No
21,0.04053950048998925,0.23866530361581575,4.1015625,0.0608672782330325,0.008926205270010623,1.42845148828125,0.000605792968750074,0.04561221451420201,-0.004877167083197636,0.006088753020697784,0.05084722984675591,-14,2,Clarinet,head,high,No
22,0.004853632336231086,0.16438570979944037,6.4453125,0.07192144313231823,0.035612918460483325,0.2383558016877637,-0.00028238396624471736,0.07595056193856183,-0.0036371769892838573,0.003072409056794423,0.0076256252217163315,-11,2,Sax,arm,high,No
