,cc,cc_x,cc_y,cc_smart,dphase_smart,coh,coh_freq,mean_motion,std_motion,mean_tempo,mean_tempo_dev,std_tempo_dev,ci68-min_dev,ci68-max_dev,dphase_cc,dphase,exp_n,musician,riot_type,factor1,factor2
0,0.32130284103931245,4,0.34613557047294075,0.34643524788895946,5,0.6985098708810172,1.3671875,0.0535080089323485,0.006226834550731205,0.7491933308823528,-0.0004980563725489606,0.012076099117075426,-0.0016479310064234094,0.0006518182613254881,0.346376078008464,5,1,Drum,leg,same,No
1,0.24060146960468465,606,0.29277133624873847,0.2866700540528794,7,0.4116165484415493,1.3671875,0.08180167771577548,0.012219522655169039,0.7491933308823528,-0.0004980563725489606,0.012076099117075426,-0.0016479310064234094,0.0006518182613254881,0.28896672339004575,7,1,Drum,head,same,No
2,0.8173189332306088,0,0.8173189332306088,0.8134487375529443,0,0.9252377910816543,1.3671875,0.10230081284630001,0.035732901395821096,0.7491539855769231,-0.0010618509615385463,0.015771023477871345,-0.0025490432305726946,0.0004253413074956022,0.8173189332306088,0,1,Cello,leg,same,No
3,0.08823261097820607,440,0.19257347526782975,0.14108422666338857,-9,0.5754436282412856,5.2734375,0.10718455696007939,0.009294170005255776,0.7491539855769231,-0.0010618509615385463,0.015771023477871345,-0.0025490432305726946,0.0004253413074956022,0.13989209211317954,-9,1,Cello,head,same,No
4,0.7290799474000293,1,0.7334460901753113,0.7249957434989337,1,0.9210173228726576,1.3671875,0.06840959211120694,0.017751916787634242,0.7492466102941177,0.0008413897058823163,0.025957012718995514,-0.0016302122748041224,0.003312991686568755,0.7335668109245195,1,1,Sax,leg,same,No
5,0.29987078201934875,6,0.35190283277607287,0.347145756135968,6,0.6432238870137852,1.3671875,0.06321705774172384,0.006541296619482254,0.7492466102941177,0.0008413897058823163,0.025957012718995514,-0.0016302122748041224,0.003312991686568755,0.35225120388821723,6,1,Sax,head,same,No
6,0.1930605971284553,75,0.20643025684351257,0.19125635223741047,0,0.48316106144700477,2.734375,0.06986352699401263,0.009298640077750324,0.7497499215686273,0.0003031764705884438,0.02144996091705811,-0.001739268338534381,0.0023456212797112685,0.1930605971284553,0,1,Piano,leg,same,No
7,0.2869003398857098,5,0.31935078626690294,0.3094913366153221,5,0.4744552033273639,1.3671875,0.047109387353332484,0.004690174246819849,0.7497499215686273,0.0003031764705884438,0.02144996091705811,-0.001739268338534381,0.0023456212797112685,0.31960709776633045,5,1,Piano,head,same,No
8,0.5785842378542793,0,0.5785842378542793,0.5943827446355385,-3,0.6686375923708837,2.734375,0.09477859368109211,0.06644022353335424,0.7494126691176471,-0.00021535539215699302,0.02846582742241558,-0.0029258443147761035,0.0024951335304621174,0.6006476769536145,-3,1,Accordion,leg,same,No
9,-0.20137499804476794,629,0.4538179708734157,0.3955307873937259,29,0.4628616481326439,1.3671875,0.07319401559713794,0.010427658844755784,0.7494126691176471,-0.00021535539215699302,0.02846582742241558,-0.0029258443147761035,0.0024951335304621174,0.38875607558237146,29,1,Accordion,head,same,No
10,0.7818585069289885,2,0.7920685731474568,0.7900444826231708,2,0.9495717672673344,1.3671875,0.07112629139694683,0.017063340406102023,0.7490792034313726,0.0006029926470588013,0.0292215858087344,-0.0021794588678958676,0.00338544416201347,0.7923294245743298,2,1,Clarinet,leg,same,No
11,0.10237061132820839,1424,0.14170853635103375,0.10395045113417191,2,0.20579326420317243,3.7109375,0.051325655969355156,0.005114004000156447,0.7490792034313726,0.0006029926470588013,0.0292215858087344,-0.0021794588678958676,0.00338544416201347,0.10320608659017302,2,1,Clarinet,head,same,No
12,0.0088136144266481,810,0.07575340683083595,0.01727317266500119,4,0.24341127051409842,1.5625,0.05296226399665486,0.0058586897225115,0.3261785089285714,-1.234226190474597e-05,0.013840581914290665,-0.0008507938471109777,0.0008261093233014857,0.013769701628310517,4,2,Drum,leg,high,No
13,0.032347171397332106,1062,0.10537005968262991,0.07188820682167403,6,0.23791757629847662,2.9296875,0.08476507611075788,0.01230254770391413,0.3261785089285714,-1.234226190474597e-05,0.013840581914290665,-0.0008507938471109777,0.0008261093233014857,0.06800622135071174,5,2,Drum,head,high,No
14,0.07633154179659793,74,0.12145352009971554,0.11227471898923393,-4,0.2321354394261277,2.734375,0.05788030360007648,0.008662982925858176,0.38208165825688073,-0.00012389678899082273,0.01215213879683726,-0.0009153921703569423,0.0006675985923752969,0.1109417127879753,-4,2,Cello,leg,high,No
15,-0.06706249657894421,249,0.0893395666427585,0.08413174596865637,-18,0.33026150284506284,6.640625,0.08401631275152643,0.008146067093800311,0.38208165825688073,-0.00012389678899082273,0.01215213879683726,-0.0009153921703569423,0.0006675985923752969,0.08405068607594897,-18,2,Cello,head,high,No
16,-0.0048873424812233175,114,0.4963023565218948,0.5858256693853872,-37,0.8147773289675029,0.78125,0.060967249478502794,0.015125268228321394,1.547327111842105,-0.00010563815789454978,0.07115664055142798,-0.011206266137965895,0.010994989822176796,0.5864404012499379,-37,2,Sax,leg,high,No
17,0.004176834094041294,120,0.2736315206479881,0.29182814541109364,-36,0.4242594218859872,0.5859375,0.06204127580178687,0.007109913818160662,1.547327111842105,-0.00010563815789454978,0.07115664055142798,-0.011206266137965895,0.010994989822176796,0.2849868375156208,-37,2,Sax,head,high,No
18,0.12367630638191349,12,0.4109707213451358,0.40561646771988097,12,0.7275479957090855,1.5625,0.07966286876000334,0.010292805650944094,0.6610847542372881,0.0030434152542373376,0.020211478040495733,0.0012541242397619541,0.004832706268712721,0.4118311400382059,12,2,Piano,leg,high,No
