,cc,coh,coh_freq,exp_n,musician,riot_type,factor1,factor2
0,0.046976140272318084,0.689242547976273,0.68359375,1,Sax,head,low,No
1,0.043157905836112294,0.6253553022013137,44.04296875,1,Sax,arm,low,No
2,0.14635567680269207,0.9635680931444213,4.00390625,1,Accordion,head,low,No
3,0.13620283731048408,0.9675149240512252,4.00390625,1,Accordion,arm,low,No
4,0.05697784551181023,0.6780177698641642,33.10546875,1,Cello,head,low,No
5,0.09250212704742058,0.6011942659520995,2.5390625,1,Cello,arm,low,No
6,0.04073477706816949,0.6728410499235662,30.2734375,1,Piano,head,low,No
7,0.02903172257001197,0.6135109413748073,42.3828125,1,Piano,arm,low,No
8,0.13543987457998446,0.9194013238910462,2.63671875,1,Drum,head,low,No
9,0.0,0.9289171659110873,0.1953125,1,Drum,arm,low,No
10,0.11442134515449844,0.9167048047500587,0.390625,1,Clarinet,head,low,No
11,0.03523326146576884,0.5436996167542154,46.2890625,1,Clarinet,arm,low,No
12,0.10309450398763129,0.8588781247095908,4.1015625,2,Sax,head,high,No
13,0.0696448944702656,0.5067518148301912,47.65625,2,Sax,arm,high,No
14,0.13280270942565844,0.8246182317473735,2.5390625,2,Accordion,head,high,No
15,0.20225023674116843,0.9799275907412743,2.5390625,2,Accordion,arm,high,No
16,0.08496495909438882,0.7572418109410535,2.734375,2,Cello,head,high,No
17,0.12764032794012573,0.7257460489510675,1.46484375,2,Cello,arm,high,No
18,0.04606534078332868,0.54813346786615,20.60546875,2,Piano,head,high,No
19,0.0211913840816901,0.5737497307509927,40.4296875,2,Piano,arm,high,No
20,0.044988207639046755,0.864532689470142,3.02734375,2,Drum,head,high,No
21,0.012272607193859015,0.5460960865604605,5.17578125,2,Drum,arm,high,No
22,0.03719319419964199,0.5164937235687219,40.91796875,2,Clarinet,head,high,No
23,0.033680293886997045,0.617375118990959,23.53515625,2,Clarinet,arm,high,No
24,0.10302133889403864,0.7350383336860572,1.3671875,3,Sax,head,low,No
25,0.018844363182838705,0.6597092167568545,13.671875,3,Sax,arm,low,No
26,0.12080633830142902,0.921124312296243,4.00390625,3,Accordion,head,low,No
27,0.1816914814762483,0.9533349121622974,1.953125,3,Accordion,arm,low,No
28,0.06563008074034288,0.6403734403080985,40.0390625,3,Cello,head,low,No
29,0.03147376697123903,0.6631919828023821,39.35546875,3,Cello,arm,low,No
30,0.16348866241628945,0.9165153960908682,0.68359375,3,Piano,head,low,No
31,0.0306806334353085,0.6731060924071934,17.67578125,3,Piano,arm,low,No
32,0.04839363197722157,0.5842150983871863,40.91796875,3,Drum,head,low,No
33,0.0,0.8564468339477393,0.1953125,3,Drum,arm,low,No
